scan_time,symbol,sector,industry,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,trend_score,momentum_score,reversal_score,volume_score,risk_penalty,conviction_score,score,reasons
29.08.2026 at 02:41 AM IST,GTLINFRA,Unknown,Unknown,1.2,-0.83,0.96,1.67,25.0,28.14,38.02,1.28,1.24,35255949.85,38632731.0,1.1,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,AGIIL,Unknown,Unknown,288.8,0.31,224.7,434.4,28.53,33.52,33.43,324.33,312.46,1359813.05,1434025.0,1.05,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,UNITECH,Unknown,Unknown,3.92,-1.01,3.1,7.93,26.45,50.57,33.58,4.38,4.97,3910882.2,4084051.0,1.04,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,MASTEK,Unknown,Unknown,1611.6,-2.0,1334.2,2587.07,20.79,37.71,31.46,1715.9,1803.44,73990.85,81510.0,1.1,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,TOLINS,Unknown,Unknown,95.29,-1.34,83.04,202.0,14.75,52.83,32.9,102.34,115.23,42965.0,48675.0,1.13,Bearish,0,8,8,5,15,6,6,"Weak but watchable RSI, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,SOMATEX,Unknown,Unknown,80.8,-4.69,61.86,160.5,30.62,49.66,25.5,96.21,107.31,12529.75,30964.0,2.47,Bearish,0,5,0,15,15,5,5,"Oversold RSI, Strong volume expansion, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,KAKATCEM,Unknown,Unknown,115.39,1.23,82.92,161.49,39.16,28.55,50.89,115.73,117.92,3987.7,2465.0,0.62,Bearish,0,20,0,0,15,5,5,"Healthy RSI momentum, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,TECILCHEM,Unknown,Unknown,9.09,-4.21,8.0,22.87,13.63,60.25,47.83,9.71,13.63,51015.2,10472.0,0.21,Bearish,0,10,15,0,20,5,5,"RSI recovering zone, Close to 52W low with recovery potential, Below 200 DMA risk, Very far from 52W high"
29.08.2026 at 02:41 AM IST,TIGERLOGS,Unknown,Unknown,30.09,1.86,22.9,56.69,31.4,46.92,54.31,31.38,33.25,358848.0,242067.0,0.67,Bearish,0,20,0,0,15,5,5,"Healthy RSI momentum, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,TEXRAIL,Unknown,Unknown,108.43,-0.56,78.05,153.0,38.92,29.13,50.8,110.63,112.99,1378618.95,851548.0,0.62,Bearish,0,20,0,0,15,5,5,"Healthy RSI momentum, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,KHANDSE,Unknown,Unknown,17.38,1.94,12.2,26.88,42.46,35.34,50.83,17.42,18.41,1972.05,431.0,0.22,Bearish,0,20,0,0,15,5,5,"Healthy RSI momentum, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,KAVDEFENCE,Unknown,Unknown,57.83,-0.99,51.51,162.87,12.27,64.49,48.25,59.9,66.95,120281.05,77154.0,0.64,Bearish,0,10,15,0,20,5,5,"RSI recovering zone, Close to 52W low with recovery potential, Below 200 DMA risk, Very far from 52W high"
29.08.2026 at 02:41 AM IST,KREBSBIO,Unknown,Unknown,56.21,6.06,38.33,82.49,46.65,31.86,53.68,56.53,60.12,5983.3,4874.0,0.81,Bearish,0,20,0,0,15,5,5,"Healthy RSI momentum, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,KSHITIJPOL,Unknown,Unknown,3.01,-3.22,1.88,7.2,60.11,58.19,49.35,3.26,3.11,1289324.0,2142718.0,1.66,Bearish,0,10,0,10,15,5,5,"RSI recovering zone, Volume expansion, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,DAMCAPITAL,Unknown,Unknown,148.12,-0.6,118.42,284.08,25.08,47.86,47.96,151.77,167.37,299834.8,208302.0,0.69,Bearish,0,10,8,0,15,3,3,"RSI recovering zone, Within 30% of 52W low, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,NKIND,Unknown,Unknown,59.65,0.95,49.66,87.78,20.12,32.05,47.69,61.55,64.5,19563.6,5547.0,0.28,Bearish,0,10,8,0,15,3,3,"RSI recovering zone, Within 30% of 52W low, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,ARSSBL,Unknown,Unknown,517.05,-1.76,412.33,787.83,25.4,34.37,49.65,531.4,559.19,174000.95,77288.0,0.44,Bearish,0,10,8,0,15,3,3,"RSI recovering zone, Within 30% of 52W low, Below 200 DMA risk"
